event_date,event_YM,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,interaction,admin1,admin2,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,region_agg,fatalities_month_province,total_battles_province,total_remote_violence_province,mean_fatalities_month_no_price,mean_battles_no_price,mean_remoteviolence_no_price,mean_conflicts_taliban_no_price
20 January 2017,2017-01,2017,1,Battles,Armed clash,Taliban,,2,12,Daykundi,Gizab,Gizab,33.380901,66.264099,2,Voice of Jihad,Other,"On 20 January 2017, Taliban militants clashed with Afghan military forces, killing 1 soldier and injuring 1, in Gizab district, Urozgan.",0,OTHER,0,4,0,113.59612,37.056313,19.378641,24.244659
25 February 2017,2017-02,2017,1,Battles,Armed clash,Taliban,,2,12,Bamyan,Shebar,Shibar,34.919998,68.040001,2,Khaama Press,National,"During clashes between the Police Forces of Afghanistan and the Islamic State on 25-Feb-2017 in the Sherbar district (coded Shibar) of Bamyan a key Taliban leader, 3 police, and one of the police drivers were killed.",5,OTHER,12,4,0,75.629837,29.618784,12.527624,18.279005
12 March 2017,2017-03,2017,1,Battles,Armed clash,Unidentified Armed Group (Afghanistan),,3,13,Daykundi,Nili,Nili,33.721802,66.130203,3,Xinhua,International,"A Ministry of Interior press release on March 12, 2017, announced that 31 armed insurgents were killed (coded across 4 events) in the previous 24 hours in military operations in Wardak, Nangarhar, Daykundi, and Urozgan Provinces. 2 other insurgents were reported wounded and 12 captured.",8,OTHER,16,2,0,159.11882,51.132175,25.771696,32.899868
30 April 2017,2017-04,2017,1,Battles,Armed clash,Military Forces of Afghanistan (2014-2021),,1,12,Bamyan,Saighan,Saighan,35.183102,67.679604,2,Local Source,International,The Taliban website reports that Taliban militants carried out an attack on Afghan forces in the Dahan Dray area of Saifan district of Bamian province killing 1 soldier.,1,OTHER,2,2,0,225.925,66.93409,30.138636,38.719318
19 May 2017,2017-05,2017,1,Battles,Armed clash,Military Forces of Afghanistan (2014-2021),,1,11,Daykundi,Kejran,Kajran,33.203602,65.473099,1,Voice of Jihad,Other,"On 19 May 2017, a gun fight erupted between Afghan soldiers, injuring 2 soldiers, in the admin center of Kajran district, Daykundi.",0,OTHER,0,2,0,286.90979,74.976471,39.203922,55.700001
19 June 2017,2017-06,2017,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Afghanistan (2014-2021),,1,12,Bamyan,Kahmard,Kahmard,35.333302,67.5,2,Voice of Jihad,Other,Taliban militants carried out attacks on 2 Afghan forces' security posts in the Duab and Mekh-e Zarin area of Kohmard district in Bamian province killing 4 soldiers.,0,OTHER,0,2,2,148.69417,55.029125,34.800972,43.919903
09 July 2017,2017-07,2017,1,Battles,Armed clash,Taliban,,2,12,Daykundi,Nili,Nili,33.721802,66.130203,3,Voice of Jihad,Other,"On 09 July 2017, Taliban militants ambushed and killed 1 Afghan soldier, and injured 2, in Ajristan district, Daykundi.",0,OTHER,0,2,2,205.46939,61.011337,27.088436,38.854874
24 August 2017,2017-08,2017,1,Battles,Armed clash,Taliban,,2,12,Daykundi,Gizab,Gizab,33.380901,66.264099,2,Voice of Jihad,Other,"On 24 August 2017, Taliban militants ambushed and killed 1 Afghan military commander, in Gizab district, Urozgan.",0,OTHER,0,4,2,284.02322,99.423706,44.756779,66.972115
30 September 2017,2017-09,2017,1,Battles,Armed clash,Taliban,,2,12,Bamyan,Shebar,Baghak,35.180901,67.972801,1,Afghan Islamic Press News Agency; Pajhwok Afghan News,National,"80-100 Taliban fighters attacked security checkpoints in the Baghak area of Shibar District on the evening of September 29, 2017, and the clashes lasted 12 hours into the next day. 5 Taliban and a policeman were killed (coded across 2 events); the Taliban claimed that many government soldiers also suffered casualties.",3,OTHER,12,4,0,227.42554,53.797871,28.404255,38.276596
30 October 2017,2017-10,2017,1,Battles,Armed clash,Police Forces of Afghanistan (2014-2021),,1,12,Bamyan,Shebar,Shibar,34.919998,68.040001,2,Voice of Jihad,Other,"On 30 October 2017, Taliban militants shot and killed 3 policemen trying to reopen a road that Taliban had closed off in Shibar (Ghandak) district, Bamyan.",0,OTHER,0,2,0,300.47507,72.137764,23.75297,44.904987
23 November 2017,2017-11,2017,1,Strategic developments,Agreement,Government of Afghanistan (2014-2021),,1,12,Bamyan,Kahmard,Kahmard,35.333302,67.5,2,Noor TV; Bakhtar News Agency,National,"Agreement: The shadow district governor from the Taliban for Kahmard District, Bamyan Province, along with his bodyguard joined the peace process, as reported on November 23, 2017.",0,OTHER,0,0,0,147.37758,77.322655,32.17849,51.832951
04 December 2017,2017-12,2017,1,Battles,Armed clash,Military Forces of Afghanistan (2014-2021),,1,12,Daykundi,Gizab,Sangah Shaykh,33.434898,66.206802,1,Voice of Jihad,Other,"On 4 December 2017, Taliban militants ambushed and killed an Afghan soldier, in Sangah Shaykh of Gizab district, Urozgan. Fatalities coded as 0 (VoJ reported 1 fatality).",0,OTHER,0,2,2,213.98251,83.265305,23.002916,49.82653
