event_YM,region_agg,region_hprices,h_prices,h_quality
2020-03,E,Nangarhar,2023,Off- white powder (Batan)
2020-04,E,Nangarhar,2075,Off- white powder (Batan)
2017-02,E,Nangarhar,3124,Off- white powder (Batan)
2017-08,E,Nangarhar,3012,Off- white powder (Batan)
2018-06,E,Nangarhar,2513,Off- white powder (Batan)
2020-01,E,Nangarhar,2201,Off- white powder (Batan)
2019-08,E,Nangarhar,2109,Off- white powder (Batan)
2018-03,E,Nangarhar,2609,Off- white powder (Batan)
2018-07,E,Nangarhar,2358,Off- white powder (Batan)
2018-04,E,Nangarhar,2599,Off- white powder (Batan)
2018-01,E,Nangarhar,2731,Off- white powder (Batan)
2019-03,E,Nangarhar,2204,Off- white powder (Batan)
2018-11,E,Nangarhar,2296,Off- white powder (Batan)
2017-07,E,Nangarhar,3069,Off- white powder (Batan)
2019-10,E,Nangarhar,2185,Off- white powder (Batan)
2017-04,E,Nangarhar,3094,Off- white powder (Batan)
2018-09,E,Nangarhar,2480,Off- white powder (Batan)
2017-05,E,Nangarhar,3053,Off- white powder (Batan)
2017-03,E,Nangarhar,3110,Off- white powder (Batan)
2018-08,E,Nangarhar,2477,Off- white powder (Batan)
2020-02,E,Nangarhar,2181,Off- white powder (Batan)
2017-11,E,Nangarhar,2949,Off- white powder (Batan)
2018-05,E,Nangarhar,2615,Off- white powder (Batan)
2019-12,E,Nangarhar,2195,Off- white powder (Batan)
2019-07,E,Nangarhar,2075,Off- white powder (Batan)
2019-09,E,Nangarhar,2160,Off- white powder (Batan)
2019-04,E,Nangarhar,2176,Off- white powder (Batan)
2018-12,E,Nangarhar,2232,Off- white powder (Batan)
2019-11,E,Nangarhar,2211,Off- white powder (Batan)
2019-05,E,Nangarhar,2025,Off- white powder (Batan)
2020-06,E,Nangarhar,1817,Off- white powder (Batan)
2019-06,E,Nangarhar,1869,Off- white powder (Batan)
2019-01,E,Nangarhar,2237,Off- white powder (Batan)
