event_YM,mean_fatalities_month_no_price,mean_battles_no_price,mean_remoteviolence_no_price,mean_conflicts_taliban_no_price,mean_fatalities_month_price,mean_conflicts_taliban_price,mean_trader_price,mean_farmgate_price,mean_price_premium,mean_battles_price,mean_remoteviolence_price
2017-01,113.59612,37.056313,19.378641,24.244659,461.80209,50.014481,202.35327,193.8231,8.5301666,86.958969,42.694286
2017-02,75.629837,29.618784,12.527624,18.279005,591.43463,45.344231,190.37621,183.42117,6.9550295,77.334618,49.523075
2017-03,159.11882,51.132175,25.771696,32.899868,647.80511,63.188534,173.50827,166.62245,6.8858232,104.71847,64.141403
2017-04,225.925,66.93409,30.138636,38.719318,546.65625,48.278255,153.54379,146.34998,7.1938162,84.208885,38.059235
2017-05,286.90979,74.976471,39.203922,55.700001,595.10327,55.116425,144.76605,137.83859,6.9274683,98.08593,38.025642
2017-06,148.69417,55.029125,34.800972,43.919903,296.21414,37.147476,153.03073,145.55252,7.4782224,63.806061,27.179798
2017-07,205.46939,61.011337,27.088436,38.854874,578.21051,58.818077,126.86897,121.1129,5.7560697,98.005722,48.442219
2017-08,284.02322,99.423706,44.756779,66.972115,324.7196,48.618786,128.75471,121.91827,6.8364511,80.806633,34.87569
2017-09,227.42554,53.797871,28.404255,38.276596,320.15503,38.888027,129.56621,122.3499,7.2163005,63.962101,34.517658
2017-10,300.47507,72.137764,23.75297,44.904987,486.45657,75.143196,117.59708,110.70573,6.8913498,116.69743,55.918514
2017-11,147.37758,77.322655,32.17849,51.832951,300.56476,70.202194,117.29886,110.02799,7.2708645,96.727898,66.129539
2017-12,213.98251,83.265305,23.002916,49.82653,495.08646,52.497555,114.31217,107.17069,7.1414747,94.429039,47.27243
2018-01,217.41902,72.126762,20.197184,40.852112,403.78131,48.494198,104.43163,97.957092,6.4745359,99.538177,33.086132
2018-02,70.900002,51.609093,21.336363,31.577272,319.10007,41.462753,105.98285,99.971107,6.0117431,77.059441,38.474792
2018-03,121.07661,57.739132,16.47205,31.685301,380.01743,44.83527,96.837242,90.639824,6.1974192,78.695213,47.41074
2018-04,181.89259,73.74456,23.716982,40.918724,369.35846,44.679813,98.266922,91.49334,6.7735801,94.973511,39.663921
2018-05,514.97064,112.09358,31.704025,63.250271,523.15387,60.246616,94.750381,87.516777,7.2336092,107.27518,58.629074
2018-06,372.35431,114.22412,33.892208,59.840981,461.69977,47.171803,106.2661,99.686302,6.5798011,99.890411,41.658104
2018-07,703.5033,133.86493,44.504356,72.861656,671.1554,60.335854,86.530228,79.928711,6.6015139,119.98489,57.167217
2018-08,711.55377,86.790749,27.892485,43.845085,485.07895,55.290447,86.791679,81.138618,5.6530647,124.76311,34.852566
2018-09,362.28464,44.074905,26.591761,22.279026,454.88995,33.609024,81.428902,76.099518,5.3293819,80.41832,37.587833
2018-10,450.61084,71.520523,24.408867,26.420361,388.01318,34.529282,76.418526,70.86338,5.5551429,75.32943,33.065887
2018-11,573.52057,67.198502,21.475655,31.734083,452.689,35.954117,79.801216,74.186234,5.6149769,96.151497,19.103424
2018-12,453.33334,64.244728,19.839663,35.033756,440.23145,43.936455,81.441315,75.953781,5.4875321,105.59064,25.623411
2019-01,123.3224,52,10.885246,26.47541,447.74496,44.402683,82.194824,76.847496,5.347332,96.432213,29.81745
2019-02,263.79086,52.326797,13.437908,28.156862,375.07947,42.937084,78.816505,73.509636,5.3068643,86.211922,24.245033
2019-03,164.20943,35.790577,15.790576,21.13089,457.66293,54.206459,72.644691,67.599556,5.045136,101.05899,24.671349
2019-04,342.75284,85.105011,21.06139,51.290791,278.89557,36.370255,66.326225,61.616322,4.7099009,63.227848,19.313292
2019-05,388.05957,55.021278,27.914894,35.608509,390.84952,53.298,57.8965,53.252605,4.6438937,82.035583,38.961452
2019-06,300.95105,59.76923,19.454546,33.534966,332.59412,43.533882,56.752697,52.271317,4.48138,76.87748,29.286106
2019-07,384.62997,95.174576,55.563568,68.726753,425.00656,55.359169,61.106907,56.94878,4.1581273,75.427948,51.834061
